,Unnamed: 0,TweetId,UserId,UserUsername,Date,Location,Tweet,Media,Likes,Retweets,Comments,Polarity,Sentiment
306,306,1635239392305635328,472852289,Brevesdepresse,2023-03-13 11:20:27+00:00,France,flash quelqu jour banqu américain sombr dont silicon valley bank interrog franceinfo ministr léconom bruno mair exprim confianc solid banqu français vois risqu contagion atil assur,"Media(photos=[], videos=[], animated=[])",3631,1294,700,0.14,Positive
307,307,1635335455934930946,1608490362753978372,MagLiber3,2023-03-13 17:42:10+00:00,,consider arriv économ consider comm hoov lâg modernenous connaîtron grand dépress bien dévast preuv banqu commencent déjà seffondr,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/FrHg7WgWICQ0Vd5.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/FrHg7jvWAAA4M6d.jpg')], videos=[], animated=[])",0,0,0,0.15,Positive
308,308,1635322900428488705,1510219409922703362,raylekys,2023-03-13 16:52:16+00:00,Laniakea,banqu français solid russ genou,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/FrHVgtQXoAIzikP.jpg')], videos=[], animated=[])",0,0,0,0.2,Positive
309,309,1635322623336017921,1584132200911585280,yt_LaMinuteInfo,2023-03-13 16:51:10+00:00,,foutu mdrrrr,"Media(photos=[], videos=[], animated=[])",0,0,0,-0.4,Negative
311,311,1635318130951208961,1208825876714074113,AbbeMoine,2023-03-13 16:33:19+00:00,,cest linvers risqu darriv sest toujour tromp analys lincompétent fait,"Media(photos=[], videos=[], animated=[])",1,0,0,0.0,Neutral
312,312,1635317441948680193,2726067836,GaelleGritte,2023-03-13 16:30:35+00:00,"Le Mans, France",cryptos nexist aujourdhui paysag financi bien différent rapport forc plus mêm,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/FrHQU6TXwAA-NEb.jpg')], videos=[], animated=[])",0,0,0,0.18333333333333335,Positive
313,313,1635315861073584132,1581371013060763650,bear_et_bull,2023-03-13 16:24:18+00:00,,regret,"Media(photos=[], videos=[], animated=[])",0,0,0,0.0,Neutral
314,314,1634256491342340107,1581371013060763650,bear_et_bull,2023-03-10 18:14:45+00:00,,soir loccas salvateur renforc egld atom voilà,"Media(photos=[], videos=[], animated=[])",1,0,0,0.0,Neutral
315,315,1635315754114629635,2183048601,riatto_l,2023-03-13 16:23:53+00:00,"Villers-sur-Mer, France",renflou émettr encor plus fauss monnai demand comm cess remont taux dintérêt det américain continu dexplos tout comm linflat lanc,"Media(photos=[], videos=[], animated=[])",2,1,1,0.11249999999999999,Positive
316,316,1635312841053081601,1208825876714074113,AbbeMoine,2023-03-13 16:12:18+00:00,,sest tjr tromp analys français européen bon sant elle effet levi démesur,"Media(photos=[], videos=[], animated=[])",0,0,0,0.3,Positive
317,317,1635183059460050945,38395124,franceinfo,2023-03-13 07:36:36+00:00,"Paris, France",faillit bancair etatsun vois risqu contagion franc assur bruno mair ministr leconom financ banqu français solid,"Media(photos=[], videos=[MediaVideo(thumbnailUrl='https://pbs.twimg.com/media/FrFWUlsXoAEpSAI.jpg', variants=[MediaVideoVariant(contentType='video/mp4', bitrate=832000, url='https://video.twimg.com/amplify_video/1635182978878898177/vid/640x360/02ZYK6k1tulYJhH1.mp4?tag=16'), MediaVideoVariant(contentType='video/mp4', bitrate=288000, url='https://video.twimg.com/amplify_video/1635182978878898177/vid/480x270/lW1Xu1Qx-Jv7mXZM.mp4?tag=16'), MediaVideoVariant(contentType='video/mp4', bitrate=2176000, url='https://video.twimg.com/amplify_video/1635182978878898177/vid/1280x720/6eFqeZU0kXL78XD8.mp4?tag=16')], duration=61360, views=None)], animated=[])",127,97,572,0.2,Positive
318,318,1635306125825560576,1217204650132242438,crytpo4life,2023-03-13 15:45:37+00:00,The moon,vrai fort émot droit mech pair,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/FrHGQLXXsAAUMJE.jpg')], videos=[], animated=[])",1,0,1,0.21,Positive
319,319,1635303176260972544,1328400425280819200,IkuNajo,2023-03-13 15:33:54+00:00,Dans un monde de psychopathes,paniqu bidenpr band train discut façon dutilis médi empêch paniqu bancair aujourdhui milieu effondr total léconom mondial signatur bank banqu premi républ,"Media(photos=[], videos=[], animated=[])",1,0,0,0.05,Positive
320,320,1635300999987617792,1320038531440533505,ZeitounRimal,2023-03-13 15:25:15+00:00,🇺🇲🇷🇺🇺🇦🇫🇷🇦🇪🇮🇱🏳️‍🌈,lis bien context banquerout bancair leffondr banqu recommand suivr hashtag pourr bien reven mod heur jour ven,"Media(photos=[], videos=[], animated=[])",1,1,0,0.0,Neutral
321,321,1635300058651570178,360571048,Aff_Parisiennes,2023-03-13 15:21:31+00:00,Paris,faillit deux banqu américain dang banqu français assur ministr leconom chez,"Media(photos=[], videos=[], animated=[])",0,0,0,0.14,Positive
322,322,1635299824676511745,1520769165551968261,ioannis20222022,2023-03-13 15:20:35+00:00,,paniqu biden pris band train discut façon dutilis médi empêch paniqu bancair aujourdhui milieu effondr total leconom mondial,"Media(photos=[], videos=[], animated=[])",0,0,0,0.05,Positive
323,323,1635299797371617283,72937606,Solwii,2023-03-13 15:20:28+00:00,,fantôm lehman brother rôd autour daut directeur financi chez lehman,"Media(photos=[], videos=[], animated=[])",10,4,0,0.0,Neutral
324,324,1635299472619233280,3319438810,MissSocksPlease,2023-03-13 15:19:11+00:00,,comm dev arriv chez risqu rien,"Media(photos=[], videos=[], animated=[])",0,0,0,0.0,Neutral
325,325,1635293139882905600,133663801,BFMTV,2023-03-13 14:54:01+00:00,France,alert info faillit banqu franc banqu français expos,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/FrG6cbVaQAM2qmD.jpg')], videos=[], animated=[])",28,8,48,0.2,Positive
327,327,1635240142867931136,40129171,Schuldensuehner,2023-03-13 11:23:26+00:00,"Berlin, Germany",ouch cost insuring against cred suiss default pric record amid fallout,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/FrGKPRyXoAAARGn.png')], videos=[], animated=[])",1660,574,40,0.0,Neutral
328,328,1635293894920527873,1508753285800411139,Bella_CowgirlTX,2023-03-13 14:57:01+00:00,"Texas, USA",cod bel,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/FrG7IHragAI3D_0.jpg')], videos=[], animated=[])",1,1,0,0.4,Positive
329,329,1635287956998225923,963381699492175872,hospicekake,2023-03-13 14:33:25+00:00,Benin,plus loin,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/FrG1tp4aEAA9POI.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/FrG1uaxaUAIyqux.jpg')], videos=[], animated=[])",2,0,0,0.15,Positive
330,330,1635242723841286145,1532769997843472389,ActuMonde_,2023-03-13 11:33:41+00:00,France ,faillit ministr leconom bruno mair exprim confianc solid banqu français ajout quil risqu contagion quelqu jour banqu américain fait faillit,"Media(photos=[], videos=[], animated=[])",1,0,0,0.14,Positive
331,331,1635240786110586882,1438463608447504384,Cryptonoobzzzz,2023-03-13 11:25:59+00:00,CEO of being unemployed 🇬🇸,créateur cest donc ains proced,"Media(photos=[], videos=[], animated=[])",4,2,2,0.0,Neutral
332,332,1635036947214401536,2298565421,nikcantmine,2023-03-12 21:56:00+00:00,,her exactly tomorrow morning going,"Media(photos=[], videos=[MediaVideo(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1635036882785521671/pu/img/55feRvo90XoGxROF.jpg', variants=[MediaVideoVariant(contentType='video/mp4', bitrate=832000, url='https://video.twimg.com/ext_tw_video/1635036882785521671/pu/vid/652x360/cL1gjf8GX9yeXPpP.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=256000, url='https://video.twimg.com/ext_tw_video/1635036882785521671/pu/vid/488x270/0Twe0jWMOTQIMC_m.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=2176000, url='https://video.twimg.com/ext_tw_video/1635036882785521671/pu/vid/888x490/P-V0PZIZ5rOl44uS.mp4?tag=12')], duration=61226, views=None)], animated=[])",1963,622,56,0.0,Neutral
333,333,1635238981448372224,1438463608447504384,Cryptonoobzzzz,2023-03-13 11:18:49+00:00,CEO of being unemployed 🇬🇸,ouch tous abris,"Media(photos=[], videos=[], animated=[MediaAnimated(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/FrGJLsVXsAIagdm.jpg', videoUrl='https://video.twimg.com/tweet_video/FrGJLsVXsAIagdm.mp4')])",0,0,0,0.22,Positive
334,334,1635237518026358785,1353384573435056128,rovercrc,2023-03-13 11:13:00+00:00,Bitcoin 🤩🌙,bear market already over,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/FrFs0YsXwAAHQoI.jpg')], videos=[], animated=[])",969,175,249,0.0,Neutral
335,335,1635238967904997376,1446691726329008131,citoyenmonde144,2023-03-13 11:18:45+00:00,,faillit doit invit repens lutil sociétal system bancair quitt fair ravag incalcul,"Media(photos=[], videos=[], animated=[])",1,0,0,0.12,Positive
336,336,1635232248139255808,763261747511844864,DegiordanoD,2023-03-13 10:52:03+00:00,"Ajaccio, France",veut dir risqu contagion tres fort,"Media(photos=[], videos=[], animated=[])",0,0,0,0.82,Positive
337,337,1635231305909534720,38395124,franceinfo,2023-03-13 10:48:19+00:00,"Paris, France",video faillit deux banqu américain risqu contagion assur bruno mair,"Media(photos=[], videos=[], animated=[])",31,22,168,0.08,Positive
338,338,1635231341628522496,938449572191522816,Tavera1969,2023-03-13 10:48:27+00:00,France,vois risqu contagion assur bruno mair franceinfo compt tenu déclar précédent tout contredit fait sav quil vois rest fair,"Media(photos=[], videos=[], animated=[])",21,9,2,0.07333333333333333,Positive
339,339,1635222914105765889,1438463608447504384,Cryptonoobzzzz,2023-03-13 10:14:58+00:00,CEO of being unemployed 🇬🇸,prêt durgenc échang collatéral pris contrôl plus gross apres imagin prennent blagu imagin,"Media(photos=[], videos=[], animated=[MediaAnimated(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/FrF6kd9WYAEHikI.jpg', videoUrl='https://video.twimg.com/tweet_video/FrF6kd9WYAEHikI.mp4')])",0,0,1,0.14500000000000002,Positive
340,340,1635049307547250689,1351957793230749704,GoodValueCrypto,2023-03-12 22:45:07+00:00,Mes liens 👇,flash annonc tout œuvr évit cris liquid dépôt chez signatur intégral couvert trésor américain soutiendr prêt durgenc hauteur milliard retour planch billet,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/FrDcrfQXoAEilDw.jpg')], videos=[], animated=[])",368,93,39,0.1325,Positive
341,341,1635221520820895749,1251635326973620227,RunatoNews,2023-03-13 10:09:26+00:00,Paris,arriv tres,"Media(photos=[], videos=[], animated=[])",5,0,0,0.01,Positive
342,342,1635215254195142657,1608490362753978372,MagLiber3,2023-03-13 09:44:32+00:00,,plong info hi business laiss rien presag boncomm veil crash stat week suivr pre,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/FrFzmrNWcAADvN8.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/FrFzm3aXoAEvFRG.jpg')], videos=[], animated=[])",0,0,0,0.0,Neutral
344,344,1635202230621200384,145736921,ROMI1507,2023-03-13 08:52:47+00:00,PARIS,alor faut sinquiet pass toujour linvers pred,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/FrFnwwnXgAI2wk7.jpg')], videos=[], animated=[])",0,0,0,0.0,Neutral
345,345,1635198431345152000,1608490362753978372,MagLiber3,2023-03-13 08:37:41+00:00,,alor achet dir méandr cet institu financi cach,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/FrFkTcnXgAEa8qZ.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/FrFkTqSWcAAVIx2.jpg')], videos=[], animated=[])",1,0,0,0.0,Neutral
346,346,1635189327142752259,983355057994391552,alfred_lanning1,2023-03-13 08:01:30+00:00,English / Français / العربية,peut dorm deux oreil banqu français plus solid jam comm château cart lor dun tempêt,"Media(photos=[], videos=[], animated=[])",1,0,0,0.175,Positive
348,348,1635186717895581696,1132002680996597762,FranceRsistanc1,2023-03-13 07:51:08+00:00,France,programm prédict predict programming much,"Media(photos=[], videos=[MediaVideo(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1635186237093867520/pu/img/nIEcGzFtF8qUrCfC.jpg', variants=[MediaVideoVariant(contentType='video/mp4', bitrate=950000, url='https://video.twimg.com/ext_tw_video/1635186237093867520/pu/vid/480x852/vRsrrCVOgEPmyzCJ.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=632000, url='https://video.twimg.com/ext_tw_video/1635186237093867520/pu/vid/320x568/vu2RxLK2rSimv2k1.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=2176000, url='https://video.twimg.com/ext_tw_video/1635186237093867520/pu/vid/720x1280/FiqNiCCn7mWnqt4O.mp4?tag=12')], duration=36033, views=None)], animated=[])",36,27,2,0.0,Neutral
350,350,1632427740010799106,1459372028167962625,Blu_Alexia_,2023-03-05 17:07:56+00:00,,stand with oscar winn,"Media(photos=[], videos=[MediaVideo(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1508503013601968129/pu/img/xDQdYWnnvZ_KIBUl.jpg', variants=[MediaVideoVariant(contentType='video/mp4', bitrate=2176000, url='https://video.twimg.com/ext_tw_video/1508503013601968129/pu/vid/720x1280/a9ErNVHQfmjN4bsB.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=632000, url='https://video.twimg.com/ext_tw_video/1508503013601968129/pu/vid/320x568/oME0zKYL96CV9uvB.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=950000, url='https://video.twimg.com/ext_tw_video/1508503013601968129/pu/vid/480x852/nSyumWxp3Pwh1ZOu.mp4?tag=12')], duration=43955, views=None)], animated=[])",2012,277,141,0.0,Neutral
351,351,1635135655364943872,39183274,morph0ne,2023-03-13 04:28:14+00:00,"Sainte-Germaine-Boulé, Québec",sous trump nest jam entendu parl cel fort possibl pourquoi parl tant cellelà,"Media(photos=[], videos=[], animated=[])",0,0,1,0.205,Positive
352,352,1635018490116730880,1239698396023271424,GuyD_Mastouille,2023-03-12 20:42:39+00:00,Quelque part en France,vont sort planch dollar évit leffet domino toujour risqu toujour capital cest peupl rembours ceux prit trop risqu tout haut pourquoi priv risqu,"Media(photos=[], videos=[], animated=[])",2,1,0,0.0875,Positive
353,353,1634824971632640000,1523013436631830530,BPartisans,2023-03-12 07:53:41+00:00,"Marseille, France",journ seul quatr banqu américain perdu milliard dollar raison leffondr silicon valley bank,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/FrAQpbXXoAIyupx.jpg')], videos=[], animated=[])",142,85,15,-0.15666666666666668,Negative
354,354,1635011393786372096,1434938287018463236,TheGoodSly21,2023-03-12 20:14:27+00:00,"Rhône-Alpes, France",bien fois peut vrai dir avoir semain aut décis passion attend fait quelqu emplet soir gard usdt sous coud,"Media(photos=[], videos=[], animated=[])",0,0,1,0.025,Positive
355,355,1634936206898397191,1355951865196933122,Fleur50559050,2023-03-12 15:15:42+00:00,,alert accident march lign first republic bank angel autr,"Media(photos=[], videos=[MediaVideo(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1634936150069587969/pu/img/orSdf8DYxRSr-q3N.jpg', variants=[MediaVideoVariant(contentType='video/mp4', bitrate=2176000, url='https://video.twimg.com/ext_tw_video/1634936150069587969/pu/vid/720x1280/W2cQusV8O9U1wZ9k.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=632000, url='https://video.twimg.com/ext_tw_video/1634936150069587969/pu/vid/320x568/QXwg6US7veDGkd8H.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=950000, url='https://video.twimg.com/ext_tw_video/1634936150069587969/pu/vid/480x852/sC2vi6OUOIrUzvM6.mp4?tag=12')], duration=12836, views=None)], animated=[])",23,12,3,0.0,Neutral
356,356,1634909390594768896,1608490362753978372,MagLiber3,2023-03-12 13:29:08+00:00,,directric budget peut garant system bancair securis tout peut tomberpréparezvous,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/FrBdbQGXgAQIk4u.jpg')], videos=[], animated=[])",0,0,0,0.22,Positive
357,357,1634908271457779713,55329156,RNCResearch,2023-03-12 13:24:41+00:00,🇺🇸🇺🇸🇺🇸,biden budget director shaland young unabl assur american banking system saf secur after secondlargest bank collaps history,"Media(photos=[], videos=[MediaVideo(thumbnailUrl='https://pbs.twimg.com/amplify_video_thumb/1634907053738139651/img/impnsJkdQIm1bkzZ.jpg', variants=[MediaVideoVariant(contentType='video/mp4', bitrate=2176000, url='https://video.twimg.com/amplify_video/1634907053738139651/vid/1280x720/LLfHJm3pGaDpCNEA.mp4?tag=16'), MediaVideoVariant(contentType='video/mp4', bitrate=10368000, url='https://video.twimg.com/amplify_video/1634907053738139651/vid/1920x1080/dq34P911W-9a0JIY.mp4?tag=16'), MediaVideoVariant(contentType='video/mp4', bitrate=832000, url='https://video.twimg.com/amplify_video/1634907053738139651/vid/640x360/l-VEH-C0UiUmmIqo.mp4?tag=16'), MediaVideoVariant(contentType='video/mp4', bitrate=288000, url='https://video.twimg.com/amplify_video/1634907053738139651/vid/480x270/ogxoWjpbmlgFT7AS.mp4?tag=16')], duration=30764, views=None)], animated=[])",1584,589,477,0.0,Neutral
358,358,1634861803384500225,1350407404173844481,FreedomRadioFR,2023-03-12 10:20:02+00:00,France,greg rees infowar inform leffondr banqu commenc partout mond merc traduct,"Media(photos=[], videos=[MediaVideo(thumbnailUrl='https://pbs.twimg.com/amplify_video_thumb/1634861720958033927/img/LCfMQxrMGypJZG1W.jpg', variants=[MediaVideoVariant(contentType='video/mp4', bitrate=2176000, url='https://video.twimg.com/amplify_video/1634861720958033927/vid/1136x640/MG5kDk3I4AZLOXp5.mp4?tag=16'), MediaVideoVariant(contentType='video/mp4', bitrate=832000, url='https://video.twimg.com/amplify_video/1634861720958033927/vid/638x360/XhM79HR8t8lSRVjI.mp4?tag=16'), MediaVideoVariant(contentType='video/mp4', bitrate=288000, url='https://video.twimg.com/amplify_video/1634861720958033927/vid/478x270/LXEecbirey5w050J.mp4?tag=16')], duration=158315, views=None)], animated=[])",22,22,0,0.0,Neutral
359,359,1634859689736380417,1608490362753978372,MagLiber3,2023-03-12 10:11:38+00:00,,vrai crash boursi évitem cest recul mieux saut cel continu first republic bank mainten baiss pont abcd tomb mort plein impuiss,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/FrAwNwmWwAEKSMc.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/FrAwN9yX0AM-nov.png'), MediaPhoto(url='https://pbs.twimg.com/media/FrAwOJ4XsAAhEYd.png'), MediaPhoto(url='https://pbs.twimg.com/media/FrAwOVPWYAA8Ivt.jpg')], videos=[], animated=[])",9,3,0,0.10666666666666667,Positive
360,360,1634858461115875328,1608490362753978372,MagLiber3,2023-03-12 10:06:45+00:00,,cel continu first republic bank mainten baiss pont abcd tomb mort plein écran impuiss larrêt,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/FrAvGmDWYAEYS13.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/FrAvGxkX0AA1GnF.jpg')], videos=[], animated=[])",0,1,0,0.135,Positive
361,361,1634674823975645185,4765364386,ChuckCallesto,2023-03-11 21:57:03+00:00,"Florida, USA",flashback wrong person offic youll stock market crash that could look lik just wait monday,"Media(photos=[], videos=[MediaVideo(thumbnailUrl='https://pbs.twimg.com/amplify_video_thumb/1634315389646544898/img/YE6gc9-M3kiVETaD.jpg', variants=[MediaVideoVariant(contentType='video/mp4', bitrate=832000, url='https://video.twimg.com/amplify_video/1634315389646544898/vid/652x360/r_ZH_eanSZpCUGeK.mp4?tag=16'), MediaVideoVariant(contentType='video/mp4', bitrate=288000, url='https://video.twimg.com/amplify_video/1634315389646544898/vid/488x270/nucYTqHJAFDt8iJQ.mp4?tag=16'), MediaVideoVariant(contentType='video/mp4', bitrate=2176000, url='https://video.twimg.com/amplify_video/1634315389646544898/vid/888x490/czz56RKAZjyXhOLd.mp4?tag=16')], duration=27370, views=None)], animated=[])",6185,1884,271,0.0,Neutral
364,364,1634847847664476160,15643338,laurentlequien,2023-03-12 09:24:35+00:00,"Paris, France",quand cris rencontr cris valeur internet wint coming,"Media(photos=[], videos=[], animated=[])",0,0,0,0.0,Neutral
365,365,1634770903752949765,259963798,KarimBouhassoun,2023-03-12 04:18:50+00:00,"Besançon, France",sait fragil capital financi alor pourquoi continu expos secteur strateg comm digital produit agricol exempl regl prudentiel auss fragil,"Media(photos=[], videos=[], animated=[])",0,0,0,0.1,Positive
366,366,1634727190267830273,4928494971,mauricedelorme3,2023-03-12 01:25:08+00:00,"Bordeaux, France",demandezvous simpl faitesvous banqu don argent vaccin confin vont suff cet épidem,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/Fq-3rsZXgAAbDns.jpg')], videos=[MediaVideo(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1634727151118307329/pu/img/uXbFMjC-yQOW78HR.jpg', variants=[MediaVideoVariant(contentType='video/mp4', bitrate=256000, url='https://video.twimg.com/ext_tw_video/1634727151118307329/pu/vid/274x270/P427TQ07tMRnnAxZ.mp4?tag=12'), MediaVideoVariant(contentType='video/mp4', bitrate=832000, url='https://video.twimg.com/ext_tw_video/1634727151118307329/pu/vid/366x360/L_M_EBA-yekF-wih.mp4?tag=12')], duration=33033, views=None)], animated=[])",17,19,1,0.0,Neutral
368,368,1634657039027781632,1276364469707382785,eleyahu,2023-03-11 20:46:23+00:00,,demonscrator devour,"Media(photos=[], videos=[], animated=[])",0,0,0,0.0,Neutral
369,369,1634619912986533895,1434938287018463236,TheGoodSly21,2023-03-11 18:18:51+00:00,"Rhône-Alpes, France",surtout toujour temp retard comm ricochet certain inert attent gross compt bancair mois ven rien sauf quil gên,"Media(photos=[], videos=[], animated=[])",1,0,1,0.29,Positive
370,370,1634236804562862090,32867753,silvano_trotta,2023-03-10 16:56:31+00:00,Strasbourg,banqu américain seffondrent vitess incroi nombreux client wel fargo expriment frustrat apres largent disparu leur compt bancair lign matin banqu nont plus dargent,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/Fq35nPwXsAAY3sl.jpg')], videos=[], animated=[])",2213,1393,154,0.022499999999999996,Positive
371,371,1634560535751434240,1399847706328186885,Viictorrr3,2023-03-11 14:22:55+00:00,,rappel pourquoi cré bitcoin,"Media(photos=[], videos=[], animated=[])",2,1,0,0.0,Neutral
372,372,1634515342478155776,1350407404173844481,FreedomRadioFR,2023-03-11 11:23:20+00:00,France,contagion gagn autr banqu wall street jeud quatr premi établ américain morgan bank americ wel fargo cit perdu ensembl milliard dollar capitalis,"Media(photos=[], videos=[], animated=[])",7,7,2,-0.185,Negative
373,373,758693190576771072,1432573375,alpagueurbe,2016-07-28 15:58:47+00:00,europe,dominos italien tien détien oblig foutent mouis,"Media(photos=[], videos=[], animated=[])",0,0,0,0.0,Neutral
374,374,758614927930163200,40129171,Schuldensuehner,2016-07-28 10:47:47+00:00,"Berlin, Germany",bank biggest loser plan sav them italy bank bond owned other italian bank,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/CockDRFWAAAGsen.jpg')], videos=[], animated=[])",44,82,3,0.0,Neutral
375,375,1736255657781723621,3155716419,AkashiiX,2023-12-17 05:23:01+00:00,earth,grev general abandon papi euro don pouvoir bobos guignol,"Media(photos=[], videos=[], animated=[MediaAnimated(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/GBhrUKFWsAA2SHb.jpg', videoUrl='https://video.twimg.com/tweet_video/GBhrUKFWsAA2SHb.mp4')])",0,0,0,0.0,Neutral
376,376,1736031958801555764,3155716419,AkashiiX,2023-12-16 14:34:07+00:00,earth,laiss pognon banqu gueux appar fait gaff societ general particuli propr pognon propriet parc decid ains,"Media(photos=[], videos=[], animated=[])",0,0,0,0.0,Neutral
377,377,1735959120161681888,1710253421016612864,Vic_Aubert,2023-12-16 09:44:41+00:00,"Sées, France",compt banqu personnel ferm argent sais banqu silenci doit vrai être gros mech,"Media(photos=[], videos=[], animated=[])",1759,788,173,0.03333333333333333,Positive
378,378,1736027558909526120,3155716419,AkashiiX,2023-12-16 14:16:38+00:00,earth,pay europ entier metit massif general reveil franc ver adopt cryptomonnai clef tun,"Media(photos=[], videos=[], animated=[])",0,0,0,0.0875,Positive
379,379,1735940400647455145,3155716419,AkashiiX,2023-12-16 08:30:18+00:00,earth,compren pourquoi faut general soutenu tout europ fair tomb leur chateau cart remettr ordre cet polit financ magouill,"Media(photos=[], videos=[], animated=[])",0,0,0,0.11,Positive
380,380,1735637429174862316,3155716419,AkashiiX,2023-12-15 12:26:24+00:00,earth,pourt gross revolu bien cour,"Media(photos=[], videos=[], animated=[MediaAnimated(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/GBY5B8PWYAA9Zze.jpg', videoUrl='https://video.twimg.com/tweet_video/GBY5B8PWYAA9Zze.mp4')])",1,0,0,-0.08,Negative
381,381,1734256129356513728,1439526757,To_Lourenco,2023-12-11 16:57:36+00:00,Sous Dictature Macron 🤮,gard strict nécessair prêt perdr,"Media(photos=[], videos=[], animated=[MediaAnimated(thumbnailUrl='https://pbs.twimg.com/tweet_video_thumb/GBFQwTgWgAAeZPE.jpg', videoUrl='https://video.twimg.com/tweet_video/GBFQwTgWgAAeZPE.mp4')])",6,1,0,0.020000000000000004,Positive
382,382,1730332249374015682,3155716419,AkashiiX,2023-11-30 21:05:30+00:00,earth,freros mettr general termin branleur,"Media(photos=[], videos=[], animated=[])",0,0,0,0.0,Neutral
383,383,1728552720552862067,1608490362753978372,MagLiber3,2023-11-25 23:14:18+00:00,,passag nouveau mond quantum effondr vieux system planch billet cel pass gros poisson coinc filet,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F_0Nig3XQAEL_jH.jpg')], videos=[], animated=[])",109,54,9,0.28,Positive
384,384,1728392419534922081,287169150,camel033,2023-11-25 12:37:19+00:00,海外,phil氏が示唆した経済崩壊の流れです 今ではないでしょうか アメリカとヨーロッパで銀行とオンライン決算システムの機能停止流動性と信用危機が世界中に広がる 預金保有者銀行からお金が引き出せず追い払われる 日曜日の夜遅くユーロ圏の銀行の流動性がダウン,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F_x7vhJbIAAXons.jpg')], videos=[], animated=[])",1134,253,11,0.0,Neutral
385,385,1728501863413055646,1608490362753978372,MagLiber3,2023-11-25 19:52:12+00:00,,connect point cel continu confront coup plus milliard livr sterling raison prêt immobili commercial garant chin prévenu consult fiscal bas royaumeun lyddon qualifi situat désastr gard contr risqu contagion financi pourr avoir répercuss léconom britann,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F_zfSOpXEAA2R0n.jpg')], videos=[], animated=[])",36,19,4,0.018000000000000006,Positive
386,386,1728195780442255523,1608490362753978372,MagLiber3,2023-11-24 23:35:57+00:00,,breaking avant goût plusieur sourc parlent plongeon banqu suiss cour liquid cour bloqu déjà retrait selon canal manqu liquid donc fond nécessair utilis signal effondr liquidity coût incroi élev restent li retomb darchegos cred suiss sest retrouv gé odor appartient mainten,"Media(photos=[MediaPhoto(url='https://pbs.twimg.com/media/F_vI5iXXgAASco1.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/F_vI5rLXIAA6H_I.jpg'), MediaPhoto(url='https://pbs.twimg.com/media/F_vI53BWUAA0RCs.jpg')], videos=[], animated=[])",120,72,6,0.0,Neutral
